START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
4,6.763340e+00, -1.00000e+00, -1.17786e-08
4,6.783389e+00, -9.80000e-01, -1.07226e-08
4,6.803437e+00, -9.60000e-01, -1.03178e-08
4,6.823486e+00, -9.40000e-01, -9.38117e-09
4,6.843535e+00, -9.20000e-01, -9.05871e-09
4,6.863583e+00, -9.00000e-01, -8.85546e-09
4,6.883631e+00, -8.80000e-01, -8.38566e-09
4,6.903680e+00, -8.60000e-01, -8.02922e-09
4,6.923729e+00, -8.40000e-01, -7.55167e-09
4,6.943777e+00, -8.20000e-01, -6.75654e-09
4,6.963826e+00, -8.00000e-01, -6.40774e-09
4,6.983874e+00, -7.80000e-01, -5.98443e-09
4,7.003923e+00, -7.60000e-01, -5.61094e-09
4,7.023971e+00, -7.40000e-01, -5.35893e-09
4,7.044019e+00, -7.20000e-01, -5.06318e-09
4,7.064072e+00, -7.00000e-01, -4.71687e-09
4,7.084121e+00, -6.80000e-01, -4.63116e-09
4,7.104169e+00, -6.60000e-01, -4.32563e-09
4,7.124218e+00, -6.40000e-01, -4.19521e-09
4,7.144266e+00, -6.20000e-01, -3.97348e-09
4,7.164315e+00, -6.00000e-01, -3.79336e-09
4,7.184363e+00, -5.80000e-01, -3.51322e-09
4,7.204411e+00, -5.60000e-01, -3.24082e-09
4,7.224460e+00, -5.40000e-01, -3.10552e-09
4,7.244508e+00, -5.20000e-01, -2.87282e-09
4,7.264557e+00, -5.00000e-01, -2.58791e-09
4,7.284605e+00, -4.80000e-01, -2.38121e-09
4,7.304654e+00, -4.60000e-01, -2.26474e-09
4,7.324703e+00, -4.40000e-01, -2.10488e-09
4,7.344751e+00, -4.20000e-01, -1.96314e-09
4,7.364800e+00, -4.00000e-01, -1.87969e-09
4,7.384849e+00, -3.80000e-01, -1.74999e-09
4,7.404897e+00, -3.60000e-01, -1.55079e-09
4,7.424949e+00, -3.40000e-01, -1.43278e-09
4,7.444998e+00, -3.20000e-01, -1.31893e-09
4,7.465046e+00, -3.00000e-01, -1.22714e-09
4,7.485095e+00, -2.80000e-01, -1.11985e-09
4,7.505143e+00, -2.60000e-01, -1.03700e-09
4,7.525192e+00, -2.40000e-01, -9.81331e-10
4,7.545241e+00, -2.20000e-01, -8.84533e-10
4,7.565797e+00, -2.00000e-01, -8.03471e-10
4,7.585845e+00, -1.80000e-01, -6.91295e-10
4,7.605893e+00, -1.60000e-01, -6.05464e-10
4,7.625941e+00, -1.40000e-01, -5.25475e-10
4,7.645990e+00, -1.20000e-01, -4.57287e-10
4,7.666039e+00, -1.00000e-01, -3.87430e-10
4,7.686087e+00, -8.00000e-02, -3.13640e-10
4,7.706135e+00, -6.00000e-02, -2.42710e-10
4,7.726185e+00, -4.00000e-02, -1.73807e-10
4,7.746235e+00, -2.00000e-02, -1.12176e-10
4,7.766385e+00, 0.00000e+00, -6.74725e-11
4,7.786435e+00, 2.00000e-02, 3.33786e-11
4,7.806485e+00, 4.00000e-02, 1.04666e-10
4,7.826535e+00, 6.00000e-02, 1.76668e-10
4,7.846585e+00, 8.00000e-02, 2.44260e-10
4,7.866635e+00, 1.00000e-01, 3.19242e-10
4,7.886675e+00, 1.20000e-01, 3.81231e-10
4,7.906725e+00, 1.40000e-01, 4.68850e-10
4,7.926775e+00, 1.60000e-01, 5.83172e-10
4,7.946825e+00, 1.80000e-01, 6.67095e-10
4,7.966875e+00, 2.00000e-01, 7.88093e-10
4,7.987425e+00, 2.20000e-01, 9.25064e-10
4,8.007475e+00, 2.40000e-01, 9.95159e-10
4,8.027525e+00, 2.60000e-01, 1.06394e-09
4,8.047575e+00, 2.80000e-01, 1.15407e-09
4,8.067625e+00, 3.00000e-01, 1.27375e-09
4,8.087665e+00, 3.20000e-01, 1.38474e-09
4,8.107715e+00, 3.40000e-01, 1.54352e-09
4,8.127765e+00, 3.60000e-01, 1.78754e-09
4,8.147815e+00, 3.80000e-01, 1.89984e-09
4,8.167865e+00, 4.00000e-01, 2.05028e-09
4,8.187915e+00, 4.20000e-01, 2.25794e-09
4,8.207965e+00, 4.40000e-01, 2.42698e-09
4,8.228005e+00, 4.60000e-01, 2.72262e-09
4,8.248055e+00, 4.80000e-01, 2.90501e-09
4,8.268105e+00, 5.00000e-01, 3.15976e-09
4,8.288155e+00, 5.20000e-01, 3.31557e-09
4,8.308205e+00, 5.40000e-01, 3.40211e-09
4,8.328255e+00, 5.60000e-01, 3.55446e-09
4,8.348295e+00, 5.80000e-01, 3.87764e-09
4,8.368345e+00, 6.00000e-01, 4.06480e-09
4,8.388395e+00, 6.20000e-01, 4.27794e-09
4,8.408445e+00, 6.40000e-01, 4.55415e-09
4,8.428495e+00, 6.60000e-01, 4.84037e-09
4,8.448545e+00, 6.80000e-01, 5.27585e-09
4,8.468595e+00, 7.00000e-01, 5.63693e-09
4,8.488645e+00, 7.20000e-01, 5.99813e-09
4,8.508685e+00, 7.40000e-01, 7.13027e-09
4,8.528735e+00, 7.60000e-01, 7.52056e-09
4,8.548785e+00, 7.80000e-01, 7.95841e-09
4,8.568835e+00, 8.00000e-01, 8.44681e-09
4,8.588885e+00, 8.20000e-01, 8.87001e-09
4,8.608935e+00, 8.40000e-01, 9.29356e-09
4,8.628975e+00, 8.60000e-01, 9.84323e-09
4,8.649025e+00, 8.80000e-01, 1.03556e-08
4,8.669075e+00, 9.00000e-01, 1.09845e-08
4,8.689125e+00, 9.20000e-01, 1.14948e-08
4,8.709175e+00, 9.40000e-01, 1.33097e-08
4,8.729215e+00, 9.60000e-01, 1.37242e-08
4,8.749265e+00, 9.80000e-01, 1.34803e-08
4,8.769315e+00, 1.00000e+00, 1.38916e-08
5,8.958953e+00, -1.06000e+00, -1.62840e-08
5,8.979001e+00, -1.04000e+00, -1.43443e-08
5,8.999050e+00, -1.02000e+00, -1.36149e-08
5,9.019099e+00, -1.00000e+00, -1.28880e-08
